,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,October,Year to Date (to October),Year to Date (to October),Year to Date (to October),Year to Date (to October),2020 Financial Year,2020 Financial Year,2020 Financial Year,2020 Financial Year,Whole of Life,Whole of Life,Whole of Life,Whole of Life
SALARIES.PSBI,Labour,8008,Gavin Walker,R-12793,Research Office Post doc Social Media (S,"14,846","58,905","63,873","-4,969",,"175,278","63,873","111,404",,"484,476","193,422","291,055",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-12815,NDIS workforce needs,"4,813","22,252","22,252",0,,"59,980","22,252","37,728",,"190,524","101,438","89,086",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-12870,Pr19-3: Research Services Water Grant,"13,728","54,470","54,470",0,,"121,784","54,470","67,314",,"130,245","62,931","67,314",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-13814,Initiative: Social Insights and Market D,"4,543","18,027","18,027",0,,"53,642","18,027","35,615",,"53,642","18,027","35,615",
SALARIES.PSBI,Labour,8008,Gavin Walker,R-13939,Emergency Management: Tech surprise pape,,"7,622","7,622",0,,"7,622","7,622",0,,"7,622","7,622",0,
SALARIES.PSBI,Labour,8008,Gavin Walker,R-14215,QLD Big Data Challenge: Detecting Cyberb,"22,154","22,154","22,154",0,,"128,394","22,154","106,240",,"128,394","22,154","106,240",
SALARIES.PSBI,Labour,8716,Zili Zhu,R-03815,Fenics,"59,717","159,085","159,085",0,,"440,990","159,085","281,905",,"1,156,073","874,168","281,905",
SALARIES.PSBI,Labour,8716,Zili Zhu,R-09886,ARC Linkage with Monash and Challenger B,902,"3,581","3,581",0,,"6,288","3,581","2,707",,"151,330","148,623","2,707",
SALARIES.PSBI,Labour,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,,,,,,,,,,"60,228","60,228",0,
SALARIES.PSBI,Labour,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,"8,801","34,915","34,915",0,,"103,891","34,915","68,977",,"307,623","132,157","175,466",
SALARIES.PSBI,Labour,10873,Kimberley Clayfield,R-13229,SpaceFSP1 Bloom Prediction D61,,,,,,,,,,"2,338","2,338",0,
SALARIES.PSBI,Labour,10873,Kimberley Clayfield,R-13297,SpaceFSP1 HSI Data Analytics D61,,,,,,,,,,"2,885","2,885",0,
SALARIES.PSBI,Labour,10873,Kimberley Clayfield,R-13683,SpaceFSP2-08 OffEarth Resource Analytics,,,"32,065","-32,065",,,"32,065","-32,065",,,"32,065","-32,065",
SALARIES.PSBI,Labour,10873,Kimberley Clayfield,R-13843,SpaceFSP2-07 HSI Data Analytics D61,"7,051","27,978","27,978",0,,"83,253","27,978","55,275",,"175,175","27,978","147,197",
SALARIES.PSBI,Labour,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,"5,072","20,123","20,123",0,,"55,298","20,123","35,175",,"200,725","165,550","35,175",
SALARIES.PSBI,Labour,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,"8,046","5,423","2,624",,"8,046","5,423","2,624",,"414,381","336,757","77,624",
SALARIES.PSBI,Labour,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,"23,352","92,655","92,655",0,,"92,655","92,655",0,,"219,156","219,156",0,
SALARIES.PSBI,Labour,12951,Lachlan Hetherton,R-13576,Pr19-2 NSW SP: Forecasting school infras,,,,,,,,,,"121,917","121,917",0,
SALARIES.PSBI,Labour,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"61,867","339,569","226,251","113,318",,"517,510","226,251","291,259",,"517,510","226,251","291,259",
SALARIES.PSBI,Labour,17118,Klara Verbyla,R-90435,Biological Data Science Group - Operatin,"14,286","56,686","56,686",0,,"168,678","56,686","111,993",,"168,678","57,938","110,740",
SALARIES.PSBI,Labour,17928,Melanie Ayre,R-91275,Group - Optimisation & Financial Risk An,"8,654","32,649","33,075",-425,,"97,154","33,075","64,079",,"97,154","33,075","64,079",
SALARIES.PSBI,Labour,24939,Richard Nock,R-11055,On-Board health Monitoring,"19,157","76,011","76,011",-0,,"94,550","76,011","18,539",,"569,491","454,952","114,539",
SALARIES.PSBI,Labour,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,"16,836","66,801","66,833",-32,,"198,779","66,833","131,945",,"198,779","75,179","123,600",
SALARIES.PSBI,Labour,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,,"38,030","38,030",0,,"38,030","38,030",0,,"3,173,859","3,173,859",-0,
SALARIES.PSBI,Labour,25065,Chen Cai,R-09084,Critical water mains failure prediction,"7,606","30,179","30,179",0,,"52,752","30,179","22,573",,"164,041","141,468","22,573",
SALARIES.PSBI,Labour,25065,Chen Cai,R-10940,TfNSW On Demand Transport,"2,881","11,432","11,432",0,,"14,221","11,432","2,789",,"91,540","88,750","2,789",
SALARIES.PSBI,Labour,25065,Chen Cai,R-11084,Predictive Analytics for Acer,,,,,,,,,,"98,806","98,806",-0,
SALARIES.PSBI,Labour,25065,Chen Cai,R-11104,Corrosion analytics,,,,,,,,,,"102,890","102,890",0,
SALARIES.PSBI,Labour,25065,Chen Cai,R-11685,Industry PhD - Bo Wang,"1,104","4,381","4,381",0,,"13,034","4,381","8,653",,"53,794","21,523","32,272",
SALARIES.PSBI,Labour,25065,Chen Cai,R-13223,DVR Prof Yulin Jiang,,"5,000",,"5,000",,"5,000",,"5,000",,"15,000",,"15,000",
SALARIES.PSBI,Labour,25065,Chen Cai,R-13514,CRP - Smart Infrastructure and Transport,,,"-63,750","63,750",,,"-374,469","374,469",,"931,234","556,765","374,469","374,496.00"
SALARIES.PSBI,Labour,25065,Chen Cai,R-90433,Transport Analytics - Operating Costs,"13,930","55,273","55,273",0,,"164,474","55,273","109,201",,"164,474","85,260","79,214",
SALARIES.PSBI,Labour,#,Not assigned,R-09316,RESEARCH - Biological Data Science,,,,,,,,,,"1,438","1,438",0,
SALARIES.PSBI,Labour,#,Not assigned,R-09657,Social media analytics with Signal,"32,917","48,846","48,846",0,,"48,846","48,846",0,,"134,986","134,986",0,
SALARIES.PSBI,Labour,#,Not assigned,R-09724,Carbon Digiscape FSP (Data61),"4,114","16,325","16,325",0,,"48,578","16,325","32,253",,"214,136","145,228","68,908",
SALARIES.PSBI,Labour,#,Not assigned,R-10149,In-Kind AIM FSP_TB02_WP02: Integration o,,,,,,,,,,"89,354","89,354",0,
SALARIES.PSBI,Labour,#,Not assigned,R-10231,In-Kind AIM FSP_TB10_WP01: Virtual AM,"4,786","18,988","18,988",0,,"56,503","18,988","37,514",,"169,670","132,155","37,514",
SALARIES.PSBI,Labour,#,Not assigned,R-10243,In-Kind AIM FSP_TB04_WP05: Evolving one-,"11,835","46,959","46,959",0,,"139,733","46,959","92,774",,"321,507","228,733","92,774",
SALARIES.PSBI,Labour,#,Not assigned,R-10246,In-kind AIM FSP_TB04_WP20: Designing Jam,"6,733","26,716","26,716",0,,"79,498","26,716","52,782",,"208,499","155,717","52,782",
SALARIES.PSBI,Labour,#,Not assigned,R-10623,Collections Genomics Environomics FSP -,,,,,,,,,,"69,603","69,603",0,
SALARIES.PSBI,Labour,#,Not assigned,R-10642,Soil Inverse Digiscape FSP In-kind Data6,"5,427","21,533","21,533",0,,"64,076","21,533","42,543",,"244,138","201,595","42,543",
SALARIES.PSBI,Labour,#,Not assigned,R-10692,On Farm Expt Digiscape FSP In-kind Data6,"12,757","50,618","50,618",0,,"150,621","50,618","100,003",,"311,587","153,158","158,429",
SALARIES.PSBI,Labour,#,Not assigned,R-11479,Julius Award - Delaney,,,,,,,,,,"10,000",,"10,000",
SALARIES.PSBI,Labour,#,Not assigned,R-11570,Bioinformatics Environomics FSP (IN KIND,"18,174","72,111","72,111",0,,"214,574","72,111","142,464",,"618,537","476,074","142,464",
SALARIES.PSBI,Labour,#,Not assigned,R-11754,Automated parking regulation solution,,,,,,,,,,"64,372","64,372",0,
SALARIES.PSBI,Labour,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,"151,252","151,252",0,
SALARIES.PSBI,Labour,#,Not assigned,R-11983,SCF Downscaling Digiscape FSP (Data61),"10,655","42,279","42,279",0,,"125,808","42,279","83,529",,"367,039","151,966","215,073",
SALARIES.PSBI,Labour,#,Not assigned,R-12177,Analytics on Inactives,,,,,,,,,,"112,625","112,625",-0,
SALARIES.PSBI,Labour,#,Not assigned,R-12296,IN KIND Tara Richman UWA Fellowship,"3,029","12,018","12,018",0,,"35,762","12,018","23,744",,"107,866","47,467","60,399",
SALARIES.PSBI,Labour,#,Not assigned,R-12418,Happy Oyster - Challenge Project,,,,,,,,,,"82,773","82,773",0,
SALARIES.PSBI,Labour,#,Not assigned,R-12496,Consumer trust of food quality - from me,,,,,,,,,,"49,051","49,051",0,
SALARIES.PSBI,Labour,#,Not assigned,R-12521,ESA Business as Usual and Enhancements,"3,229","12,813","12,813",0,,"38,127","12,813","25,314",,"87,508","62,193","25,314",
SALARIES.PSBI,Labour,#,Not assigned,R-12560,V/Line Performance MVP,,,,,,,,,,"126,525","126,525",0,
SALARIES.PSBI,Labour,#,Not assigned,R-12643,Robust Learning for Decision Making,"29,301","116,258","116,258",-0,,"282,225","116,258","165,967",,"553,179","238,987","314,192",
SALARIES.PSBI,Labour,#,Not assigned,R-12803,Data-driven timetable evaluation model d,,,,,,,,,,"180,005",,"180,005",
SALARIES.PSBI,Labour,#,Not assigned,R-12899,Review of NAMP 2018,,,,,,,,,,"10,635","10,635",0,
SALARIES.PSBI,Labour,#,Not assigned,R-13030,Your Data Your Regions 2,"3,884","15,410","15,410",0,,"23,053","15,410","7,642",,"56,856","49,214","7,642",
SALARIES.PSBI,Labour,#,Not assigned,R-13293,Workflow Optimisation,"4,741","18,809","18,809",0,,"28,138","18,809","9,328",,"42,579","33,251","9,328",
SALARIES.PSBI,Labour,#,Not assigned,R-13460,CRP - MLAI FSP Trustworth Learning from,"3,029","12,018","12,018",0,,"35,762","12,018","23,744",,"1,207,036","1,604,391","-397,355",0.00
SALARIES.PSBI,Labour,#,Not assigned,R-13598,Towards noninvasive diagnosis of malaria,"4,207","13,888","14,105",-217,,"31,533","14,105","17,429",,"62,849","19,949","42,900",
SALARIES.PSBI,Labour,#,Not assigned,R-13666,Risk Modelling Methodologies for NESA,,"36,663","36,663",0,,"36,663","36,663",0,,"47,515","47,515",0,
SALARIES.PSBI,Labour,#,Not assigned,R-13676,Pr19-8 NSW-SP: Timetable robustness (Ext,,,,,,,,,,"180,000",,"180,000",
SALARIES.PSBI,Labour,#,Not assigned,R-13677,Pr19-9 NSW-SP: Timetable Robustness (Ext,,,,,,,,,,"50,000",,"50,000",
SALARIES.PSBI,Labour,#,Not assigned,R-13854,Spark licensing,747,"2,964","2,964",-0,,"7,374","2,964","4,410",,"7,374","2,964","4,410",
SALARIES.PSBI,Labour,#,Not assigned,R-13879,In-kind AIM FSP_TB02_WP06: Computational,"12,176","34,230","34,230",0,,"129,671","34,230","95,441",,"398,786","34,230","364,557",
SALARIES.PSBI,Labour,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,"8,830","26,204","26,204",0,,"95,416","26,204","69,212",,"171,933","26,204","145,729",
SALARIES.PSBI,Labour,#,Not assigned,R-13941,DoEE PDF-Knowledge Graph Processing,"14,242","53,709","53,293",417,,"166,222","53,293","112,930",,"166,222","53,293","112,930",
SALARIES.PSBI,Labour,#,Not assigned,R-13968,New comminution device (MSI) stages 1 an,"11,069","28,924","28,924",0,,"50,706","28,924","21,782",,"50,706","28,924","21,782",
SALARIES.PSBI,Labour,#,Not assigned,R-13973,R and Data mining course,,"17,882","17,882",0,,"17,882","17,882",0,,"17,882","17,882",0,
SALARIES.PSBI,Labour,#,Not assigned,R-14072,Social Watch 2.0 Phase 2,"47,214","117,352","117,352",-0,,"282,553","117,352","165,201",,"282,553","117,352","165,201",
SALARIES.PSBI,Labour,#,Not assigned,R-14173,CRP- Analytics & Decsion Sciences,"7,144","7,144","7,144",0,,"21,259","7,144","14,115",,"43,055","7,144","35,911",
SALARIES.PSBI,Labour,#,Not assigned,R-14261,PBSP Schedule 9 - Data Transition Part B,"1,434","1,715","1,434",282,,"21,454","1,434","20,020",,"21,454","1,434","20,020",
SALARIES.PSBI,Labour,#,Not assigned,R-14309,Study to machine learning methods to tra,,,,,,"44,165",,"44,165",,"44,165",,"44,165",
SALARIES.PSBI,Labour,#,Not assigned,R-14320,Sydney Harbour Bridge R&D Retainer Nov-D,,,,,,"30,926",,"30,926",,"30,926",,"30,926",
SALARIES.PSBI,Labour,#,Not assigned,R-14323,NSSMC Spray Cooling Software Product,,"10,940",,"10,940",,"96,700",,"96,700",,"170,040",,"170,040",
SALARIES.PSBI,Labour,#,Not assigned,R-90148,Analytics Program - Travel and Operating,102,,919,-919,,,"1,010","-1,010",,"547,466","552,107","-4,641",
SALARIES.PSBI,Labour,#,Not assigned,R-90149,Analytics Program - Small Consultancies,"10,855","43,069","43,069",0,,"128,155","43,069","85,087",,"391,225","152,351","238,874",
SALARIES.PSBI,Labour,#,Not assigned,R-90152,"Analytics - Visitor, Stud, Fellow, Inter",,,,,,,,,,"9,500","4,500","5,000",
SALARIES.PSBI,Labour,#,Not assigned,R-90546,CRP- Analytics,"34,465","169,029","116,168","52,861",,"493,974","21,718","472,257","283,353.00","2,263,086","1,143,324","1,119,761","453,273.00"
SALARIES.PSBI,Labour,#,Not assigned,R-90589,DS - CRP,"88,966","403,130","295,314","107,817","12,900.00","834,507","-69,265","903,773","407,325.00","5,528,552","3,756,849","1,771,702","785,230.00"
SALARIES.PSBI,Labour,#,Not assigned,R-91103,Australian Startup Ecosystem,,,,,,,,,,"6,859","6,859",0,
SALARIES.PSBI,Labour,#,Not assigned,R-91362,ANU Teaching,"9,415","9,415","9,415",0,,"19,133","9,415","9,718",,"19,133","9,415","9,718",
TRAVEL.CS,Travel,1343,Paul Cleary,R-13387,DEM simulation of a 36’ SAG mill,,"1,000",,"1,000",,"1,000",,"1,000",,"1,000",,"1,000",
TRAVEL.CS,Travel,1872,Gary Delaney,R-91283,Group - Computational Modelling,"6,471",,"11,793","-11,793",,,"11,793","-11,793",,,"11,793","-11,793",
TRAVEL.CS,Travel,3306,Brent Henderson,R-11610,SAGI-North Project,,"3,484",,"3,484",,"10,368",,"10,368",,"40,338","8,478","31,860",
TRAVEL.CS,Travel,3306,Brent Henderson,R-12581,Deep Earth Imaging Post-doc Supervision,,588,,588,,"1,750",,"1,750",,"5,250",5,"5,245",
TRAVEL.CS,Travel,3306,Brent Henderson,R-12646,LineSight ongoing development,,,,,,,,,,"3,000",,"3,000",
TRAVEL.CS,Travel,3306,Brent Henderson,R-13504,Improving process efficiency and certain,,,11,-11,,,11,-11,,100,11,89,
TRAVEL.CS,Travel,3306,Brent Henderson,R-13720,PFOD-OzCrop,,"1,680","2,259",-579,,"5,000","2,259","2,741",,"5,000","2,259","2,741",
TRAVEL.CS,Travel,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,"5,259","71,884","8,319","63,565",,"213,900","8,438","205,462",,"313,372","80,856","232,515",
TRAVEL.CS,Travel,5858,Cecile Paris,R-91279,Group - Knowledge Discovery & Management,576,,"13,584","-13,584",,,"13,584","-13,584",,,"13,584","-13,584",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,,,,,,,,,"1,742","-1,742",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,,672,,672,,"2,000",,"2,000",,"5,200","1,547","3,653",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,,672,"2,245","-1,573",,"2,000","2,245",-245,,"7,500","9,184","-1,684",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-11916,Transferable Integrated tools for the cl,"5,658","7,393","5,658","1,735",,"22,000","5,658","16,342",,"44,000","11,030","32,970",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-12875,Cropland fire behaviour research,26,,485,-485,,,485,-485,,,"16,032","-16,032",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-13474,Effectiveness of fire suppression resour,,,"1,468","-1,468",,,"1,468","-1,468",,,"1,468","-1,468",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-13495,Modelling the  FOREMS wildfire suppressi,,"1,587",,"1,587",,"2,000",,"2,000",,"2,759",,"2,759",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-13596,Pr19-10: INSW Gen 2.0 Phase 3,"1,164","5,627","2,335","3,292",,"7,000","2,335","4,665",,"7,000","2,335","4,665",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-13694,Bushfire Evacuation Modelling Phase 2,,"2,196",,"2,196",,"6,000",,"6,000",,"7,000",,"7,000",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-13850,Initiative - Natural Hazards and Infrast,139,,148,-148,,,148,-148,,,148,-148,
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-14234,Visualising the Impact of Mining Project,"2,906",478,"2,906","-2,428",,"10,000","2,906","7,094",,"10,000","2,906","7,094",
TRAVEL.CS,Travel,6203,Mahesh Prakash,R-91277,Group - Natural Systems Modelling,"8,482",,"15,569","-15,569",,,"15,902","-15,902",,,"15,902","-15,902",
TRAVEL.CS,Travel,7702,Peter Toscas,R-91112,Data-Driven Enterprises Group - Operatin,"1,907",,"6,195","-6,195",,,"6,195","-6,195",,,"16,516","-16,516",
TRAVEL.CS,Travel,8008,Gavin Walker,R-10441,Research Office Post doc Social Media (S,,"2,352",,"2,352",,"7,000",,"7,000",,"21,000","4,624","16,376",
TRAVEL.CS,Travel,8008,Gavin Walker,R-11577,Digital Lease - SIEF STEM Project,,"7,455","8,050",-596,,"14,000","8,050","5,950",,"16,000","10,576","5,424",
TRAVEL.CS,Travel,8008,Gavin Walker,R-12271,PH FSP Medical Decision Support - DATA61,,"1,680","1,146",535,,"5,000","1,146","3,854",,"18,000","1,649","16,351",
TRAVEL.CS,Travel,8008,Gavin Walker,R-12622,LASC Client-informed SocMedAnalysis Plat,,,,,,,,,,"20,000",,"20,000",
TRAVEL.CS,Travel,8008,Gavin Walker,R-12793,Research Office Post doc Social Media (S,,"13,443","5,343","8,099",,"40,000","5,343","34,657",,"120,000","6,537","113,463",
TRAVEL.CS,Travel,8008,Gavin Walker,R-12815,NDIS workforce needs,,,168,-168,,,168,-168,,,207,-207,
TRAVEL.CS,Travel,8008,Gavin Walker,R-12870,Pr19-3: Research Services Water Grant,,895,,895,,"2,000",,"2,000",,"2,500",458,"2,042",
TRAVEL.CS,Travel,8008,Gavin Walker,R-13814,Initiative: Social Insights and Market D,942,,"1,104","-1,104",,,"1,104","-1,104",,,"1,104","-1,104",
TRAVEL.CS,Travel,8716,Zili Zhu,R-03815,Fenics,"1,529","10,982","10,323",659,,"30,000","10,323","19,677",,"62,218","58,653","3,566",
TRAVEL.CS,Travel,8716,Zili Zhu,R-12324,Ruralco/Wex Water - options instruments,538,,538,-538,,,538,-538,,,"2,279","-2,279",
TRAVEL.CS,Travel,8716,Zili Zhu,R-12579,Monash Master of Financial Maths Interns,,"1,680",,"1,680",,"5,000",,"5,000",,"6,000",107,"5,893",
TRAVEL.CS,Travel,8716,Zili Zhu,R-13848,Initiative: Risklab,,,"2,888","-2,888",,,"2,888","-2,888",,,"2,888","-2,888",
TRAVEL.CS,Travel,12951,Lachlan Hetherton,R-10504,Apollo Campervans - DVASS,,,,,,,,,,,776,-776,
TRAVEL.CS,Travel,12951,Lachlan Hetherton,R-12754,Boeing: Workspace Live Metrology 2019 P1,,"10,000","9,031",969,,"10,000","9,031",969,,"72,000","58,936","13,065",
TRAVEL.CS,Travel,12951,Lachlan Hetherton,R-12782,Factory Flow Optimisation - Phase 5,,"10,000",,"10,000",,"10,000",,"10,000",,"20,000",674,"19,326",
TRAVEL.CS,Travel,12951,Lachlan Hetherton,R-13761,Boeing: Workspace Live Metrology 2019 P2,"7,134","48,130","16,885","31,245",,"72,000","16,897","55,103",,"72,000","16,897","55,103",
TRAVEL.CS,Travel,12951,Lachlan Hetherton,R-13847,Initiative: Industrial Tfm,,,162,-162,,,162,-162,,,162,-162,
TRAVEL.CS,Travel,15781,Simon Harrison,R-13851,Initiative: Digital Human,"1,851",,"1,851","-1,851",,,"1,851","-1,851",,,"1,851","-1,851",
TRAVEL.CS,Travel,17118,Klara Verbyla,R-90435,Biological Data Science Group - Operatin,462,"18,148",798,"17,350",,"54,000",798,"53,202",,"89,000","66,144","22,856",
TRAVEL.CS,Travel,17928,Melanie Ayre,R-91275,Group - Optimisation & Financial Risk An,"12,647",,"28,317","-28,317",,,"28,882","-28,882",,,"28,882","-28,882",
TRAVEL.CS,Travel,24939,Richard Nock,R-11055,On-Board health Monitoring,,,,,,,,,,,"11,205","-11,205",
TRAVEL.CS,Travel,24939,Richard Nock,R-90432,Machine Learning Group Operating Cost,"4,963","38,312","18,745","19,567",,"114,001","18,745","95,256",,"223,791","179,611","44,180",
TRAVEL.CS,Travel,25065,Chen Cai,R-08830,6203000 - Advanced Data Analytics in Tra,"3,801",,"3,801","-3,801",,,"3,801","-3,801",,,"3,815","-3,815",
TRAVEL.CS,Travel,25065,Chen Cai,R-09084,Critical water mains failure prediction,,,,,,,,,,,66,-66,
TRAVEL.CS,Travel,25065,Chen Cai,R-13223,DVR Prof Yulin Jiang,,,,,,,,,,,"10,622","-10,622",
TRAVEL.CS,Travel,25065,Chen Cai,R-90433,Transport Analytics - Operating Costs,"3,839",,"7,621","-7,621",,,"7,743","-7,743",,"231,000","154,390","76,611",
TRAVEL.CS,Travel,27432,Tiffany Karitzis,R-90939,STEM Engagement Analytics,,,,,,,,,,1,,1,
TRAVEL.CS,Travel,#,Not assigned,R-09657,Social media analytics with Signal,,"4,209",,"4,209",,"7,000",,"7,000",,"7,000",,"7,000",
TRAVEL.CS,Travel,#,Not assigned,R-11479,Julius Award - Delaney,"1,114","10,082","1,114","8,968",,"30,000","1,114","28,886",,"80,000","37,850","42,150",
TRAVEL.CS,Travel,#,Not assigned,R-11758,Pr 18-07 SPA: Predictive Analytics for R,,,,,,,,,,,14,-14,
TRAVEL.CS,Travel,#,Not assigned,R-11983,SCF Downscaling Digiscape FSP (Data61),184,,184,-184,,,184,-184,,,184,-184,
TRAVEL.CS,Travel,#,Not assigned,R-12521,ESA Business as Usual and Enhancements,,"2,016",,"2,016",,"6,000",,"6,000",,"6,000",,"6,000",
TRAVEL.CS,Travel,#,Not assigned,R-12643,Robust Learning for Decision Making,,,"2,131","-2,131",,,"2,131","-2,131",,,"2,131","-2,131",
TRAVEL.CS,Travel,#,Not assigned,R-13030,Your Data Your Regions 2,,"3,342",,"3,342",,"5,000",,"5,000",,"5,000",807,"4,193",
TRAVEL.CS,Travel,#,Not assigned,R-13293,Workflow Optimisation,,"4,011",,"4,011",,"6,000",,"6,000",,"10,000","1,359","8,641",
TRAVEL.CS,Travel,#,Not assigned,R-13666,Risk Modelling Methodologies for NESA,,"6,027","1,106","4,921",,"6,027","1,106","4,921",,"6,027","1,106","4,921",
TRAVEL.CS,Travel,#,Not assigned,R-13854,Spark licensing,,603,,603,,"1,500",,"1,500",,"1,500",,"1,500",
TRAVEL.CS,Travel,#,Not assigned,R-13927,An improved dry eucalypt forest fire spr,165,824,165,659,,"3,000",165,"2,835",,"6,000",165,"5,835",
TRAVEL.CS,Travel,#,Not assigned,R-13941,DoEE PDF-Knowledge Graph Processing,,,937,-937,,,937,-937,,,937,-937,
TRAVEL.CS,Travel,#,Not assigned,R-13973,R and Data mining course,52,,128,-128,,,128,-128,,,128,-128,
TRAVEL.CS,Travel,#,Not assigned,R-14072,Social Watch 2.0 Phase 2,,"3,361",,"3,361",,"10,000",,"10,000",,"10,000",,"10,000",
TRAVEL.CS,Travel,#,Not assigned,R-14261,PBSP Schedule 9 - Data Transition Part B,,16,,16,,200,,200,,200,,200,
TRAVEL.CS,Travel,#,Not assigned,R-14309,Study to machine learning methods to tra,,,,,,"3,000",,"3,000",,"3,000",,"3,000",
TRAVEL.CS,Travel,#,Not assigned,R-90148,Analytics Program - Travel and Operating,"12,575",,"17,932","-17,932",,,"17,932","-17,932",,"105,419","148,717","-43,298",
TRAVEL.CS,Travel,#,Not assigned,R-90149,Analytics Program - Small Consultancies,,,,,,,,,,"9,973","4,272","5,701",
TRAVEL.CS,Travel,#,Not assigned,R-90152,"Analytics - Visitor, Stud, Fellow, Inter",,,,,,,,,,"124,793","16,893","107,901",
TRAVEL.CS,Travel,#,Not assigned,R-90546,CRP- Analytics,,,,,,,,,,1,"2,377","-2,376",
TRAVEL.CS,Travel,#,Not assigned,R-90589,DS - CRP,,,"3,500","-3,500",,,"3,500","-3,500",,,"11,681","-11,681",
TRAVEL.CS,Travel,#,Not assigned,R-90676,Analytics Program - Awards & Grants,,,,,,,,,,"17,500","6,114","11,386",
OPERATING.PSBI,Other Operating,1343,Paul Cleary,R-10898,Millsim Maintenance and Support 2017/201,,,,,,,,,,,153,-153,
OPERATING.PSBI,Other Operating,1343,Paul Cleary,R-11440,Millsim extension,,,,,,,,,,,125,-125,
OPERATING.PSBI,Other Operating,1343,Paul Cleary,R-13849,Initiative: CM/AI for Design Optimisatio,,0,,0,,1,,1,,1,,1,
OPERATING.PSBI,Other Operating,1872,Gary Delaney,R-91283,Group - Computational Modelling,"17,500","44,966","32,616","12,349",,"133,800","32,616","101,184",,"133,800","32,616","101,184",
OPERATING.PSBI,Other Operating,3306,Brent Henderson,R-11610,SAGI-North Project,"1,177",,"1,177","-1,177",,,"1,177","-1,177",,,"2,516","-2,516",
OPERATING.PSBI,Other Operating,3306,Brent Henderson,R-13504,Improving process efficiency and certain,,128,,128,,300,,300,,300,,300,
OPERATING.PSBI,Other Operating,3306,Brent Henderson,R-13720,PFOD-OzCrop,6,,774,-774,,,774,-774,,,774,-774,
OPERATING.PSBI,Other Operating,3306,Brent Henderson,R-13859,Initiative: Environment and Biological A,,"5,377",,"5,377",,"16,000",,"16,000",,"16,000",,"16,000",
OPERATING.PSBI,Other Operating,3306,Brent Henderson,R-90434,AgriEnv Informatic Group Operating Cost,"2,558",,"14,038","-14,038",,,"14,038","-14,038",,400,"79,057","-78,657",0.00
OPERATING.PSBI,Other Operating,4203,Petra Kuhnert,R-09498,Uncertainty Digiscape In-kind Data61,374,,374,-374,,,374,-374,,,374,-374,
OPERATING.PSBI,Other Operating,5858,Cecile Paris,R-91279,Group - Knowledge Discovery & Management,121,"46,713","4,787","41,926",,"139,000","4,787","134,213",,"139,000","4,787","134,213",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-10890,Dust monitoring data analysis,,,"8,000","-8,000",,,"8,000","-8,000",,,"10,560","-10,560",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-11079,Bushfire Case Study Guide,,,,,,,,,,,"2,934","-2,934",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-11894,Spotfire Coalescence II: Extension,237,"4,201","2,385","1,816",,"12,500","2,385","10,115",,"28,158","13,772","14,386",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-11916,Transferable Integrated tools for the cl,21,,76,-76,,,76,-76,,"10,000","-111,448","121,448",
OPERATING.PSBI,Other Operating,6203,Mahesh Prakash,R-11948,Resource Deployment and Optimisation in,,,,,,,,,,"10,000",,"10,000",
